# Stepper motor drivers (M0-M7 / Driver0-Driver7). CS doubles as the single-wire
# UART pin for TMC2209-style drivers -- also named MOTORn_UART for readability
# when a driver is run in UART mode instead of SPI/step-dir CS mode.
MOTOR0_STEP,PF13
MOTOR0_DIR,PF12
MOTOR0_EN,PF14
MOTOR0_CS,PC4
MOTOR0_UART,PC4

MOTOR1_STEP,PG0
MOTOR1_DIR,PG1
MOTOR1_EN,PF15
MOTOR1_CS,PD11
MOTOR1_UART,PD11

MOTOR2_STEP,PF11
MOTOR2_DIR,PG3
MOTOR2_EN,PG5
MOTOR2_CS,PC6
MOTOR2_UART,PC6

MOTOR3_STEP,PG4
MOTOR3_DIR,PC1
MOTOR3_EN,PA2
MOTOR3_CS,PC7
MOTOR3_UART,PC7

MOTOR4_STEP,PF9
MOTOR4_DIR,PF10
MOTOR4_EN,PG2
MOTOR4_CS,PF2
MOTOR4_UART,PF2

MOTOR5_STEP,PC13
MOTOR5_DIR,PF0
MOTOR5_EN,PF1
MOTOR5_CS,PE4
MOTOR5_UART,PE4

MOTOR6_STEP,PE2
MOTOR6_DIR,PE3
MOTOR6_EN,PD4
MOTOR6_CS,PE1
MOTOR6_UART,PE1

MOTOR7_STEP,PE6
MOTOR7_DIR,PA14
MOTOR7_EN,PE0
MOTOR7_CS,PD3
MOTOR7_UART,PD3

# Endstops. Each is electrically the same net as the correspondingly
# numbered driver's DIAG (stall-detect) output.
STOP0,PG6
STOP1,PG9
STOP2,PG10
STOP3,PG11
STOP4,PG12
STOP5,PG13
STOP6,PG14
STOP7,PG15

# Thermistors (analog, resistor-divider inputs)
TB,PF3
T0,PF4
T1,PF5
T2,PF6
T3,PF7

# Heater MOSFET outputs
HE0,PA0
HE1,PA3
HE2,PB0
HE3,PB11
BED_OUT,PA1

# Fans (PWM outputs). FAN6/FAN7 are fixed always-on with no control pin.
FAN0,PA8
FAN1,PE5
FAN2,PD12
FAN3,PD13
FAN4,PD14
FAN5,PD15

# PT100/PT1000 amplifier (MAX31865), shares the SPI1 bus below
MAX31865_CS,PF8

# I2C: front header, also feeds the onboard AT24C32 EEPROM
I2C1_SCL,PB8
I2C1_SDA,PB9

# SPI1: shared stepper-driver bus, also on EXP2 (pins 1/2/6 below)
SPI1_SCK,PA5
SPI1_MISO,PA6
SPI1_MOSI,PA7

# SPI2: WiFi module (ESP-12S) bus
SPI2_NSS,PB12
SPI2_SCK,PB13
SPI2_MISO,PC2
SPI2_MOSI,PC3

# SPI3: J74 header
SPI3_NSS,PA15
SPI3_SCK,PB3
SPI3_MISO,PB4
SPI3_MOSI,PB5

# UART1: secondary display/UART header (e.g. a TFT touchscreen module)
UART1_TX,PA9
UART1_RX,PA10

# UART2: serial console header
UART2_TX,PD5
UART2_RX,PD6

# UART3: WiFi module (ESP-12S) header
UART3_TX,PD8
UART3_RX,PD9

# WiFi module (ESP-12S) header, includes the SPI2/UART3 pins above
ESP_NSS,PB12
ESP_SCK,PB13
ESP_MISO,PC2
ESP_MOSI,PC3
ESP_TX,PD8
ESP_RX,PD9
ESP_RST,PG7
ESP_IO0,PD7
ESP_IO4,PD10

# EXP1 (LCD/TFT header)
EXP1_1,PE8
EXP1_2,PE7
EXP1_3,PE9
EXP1_4,PE10
EXP1_5,PE12
EXP1_6,PE13
EXP1_7,PE14
EXP1_8,PE15

# EXP2 (pins 1/2/6 are the SPI1 bus above, listed again here by header
# position for anyone wiring a display against the pin numbering)
EXP2_1,PA6
EXP2_2,PA5
EXP2_3,PB1
EXP2_4,PA4
EXP2_5,PB2
EXP2_6,PA7
EXP2_7,PC15

# BLTouch header J43 (5-pin)
BLTOUCH_CTRL,PB6
BLTOUCH_DATA,PB7

# Probe header J40 (3-pin)
PROBE,PC5

# Misc control
POWER_DET,PC0
PS_ON,PE11
RGB,PB10
NEOPIXEL,PB10

# Status LED. Shared with SWDIO; see board notes.
LED1,PA13
WORK_LED,PA13

# CAN
CAN1_TX,PD1
CAN1_RX,PD0

# SD card (SDIO)
SD_D0,PC8
SD_D1,PC9
SD_D2,PC10
SD_D3,PC11
SD_CMD,PD2
SD_CK,PC12
SD_DET,PC14

# USB-C. The STM32H723's single OTG_HS controller, in internal-FS-PHY mode,
# drives these pins in analog mode (no GPIO AF). Used for MicroPython USB
# (REPL + 2nd CDC). See board notes.
USB_DM,PA11
USB_DP,PA12
USB_C_DM,PA11
USB_C_DP,PA12

# USB-A. Not used by the current USB config; labeled for future OTG/host
# support (e.g. reading files off a thumb drive).
USB_A_DM,PB14
USB_A_DP,PB15
